ID,gonad.id,Location,Species,Date,Day,Month,Year,FL,field Sex,histology Sex,State,Stage,Fish_Weight,Gonad_Weight,phase,mature
1673,ES722,Maunalua,Kole,4/9/14,9,4,2014,13.8,,F,SC,HY1,72.55,1.9,VT,1
1672,ES721,Maunalua,Kole,4/9/14,9,4,2014,14.4,,F,SC,VT,79.85,2.7,VT,1
1815,HK030,Hanalei,Kole,10/18/13,18,10,2013,16,,F,SC,HY2,143,1.98,H,1
2083,ES960,Hanalei,Kole,5/28/14,28,5,2014,14.9,,F,SC,VT,111.29,2.18,VT,1
1946,HK047,Hanalei,Kole,5/8/14,8,5,2014,14.5,,F,SC,HY1,80,1.84,VT,1
2045,MD008,Maunalua,Kole,6/11/14,11,6,2014,14,,F,SC,VT,72.01,0.74,VT,1
1978,HK413,Hanalei,Kole,5/18/14,18,5,2014,16.9,,F,SC,HY1,140,2.31,VT,1
1977,HK407,Hanalei,Kole,5/18/14,18,5,2014,14.5,,F,SC,VT,117,2.66,VT,1
1974,HK410,Hanalei,Kole,5/18/14,18,5,2014,16,,F,SC,S,112,3.52,H,1
1637,ES748,Maunalua,Kole,4/13/14,13,4,2014,14,,F,SC,HY2,87.7,3.44,H,1
917,ES380,Maunalua,Kole,6/26/13,26,6,2013,12.5,,F,RG,PN,55.66,0.15,RE,1
974,ES460,Maunalua,Kole,8/18/13,18,8,2013,13.6,,F,SC,HY2,90.6,2.31,H,1
664,KH256,Kaupulehu,Kole,5/11/13,11,5,2013,13.4,,F,SC,HY2,73.61,4.07,H,1
1565,ES701,Hanalei,Kole,3/28/14,28,3,2014,15.5,,F,SC,HY1,123.3,8.59,VT,1
1564,ES700,Hanalei,Kole,3/28/14,28,3,2014,16.5,,F,S,HY2,153.9,11.23,H,1
1562,ES698,Hanalei,Kole,3/28/14,28,3,2014,15.6,,F,SC,HY2,125.7,3.04,H,1
1520,WM1503,West Maui,Kole,2/26/14,26,2,2014,11.8,,F,RE,PN,40,0.01,RE,1
1636,ES747,Maunalua,Kole,4/13/14,13,4,2014,14.5,,F,SC,HY2,106.9,5.79,H,1
1415,ES575,Oahu,Kole,1/8/14,8,1,2014,17.7,,F,RE,ATRESIA,191.7,3.74,RE,1
1405,ES574,Maunalua,Kole,12/31/13,31,12,2013,13.3,,F,S,Atresic,70.65,,RE,1
1006,ES483,Maunalua,Kole,8/20/13,20,8,2013,13.6,,F,SC,HY2,78.6,1.07,H,1
